Selection Sort,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort,Heap Sort,
0.102763400,0.196271100,0.051651900,0.003496600,0.001169500,0.002030100,

0.101402300,0.195466000,0.051907800,0.003262700,0.000933700,0.002259500,
9.751743200,24.608370200,5.351890200,0.034333200,0.013503500,0.022253700,
9.710673000,23.375793900,5.138902100,0.032897700,0.012665400,0.022003400,
0.001219700,0.003038900,0.000587000,0.000408900,0.000088000,0.000142500,
0.001187500,0.002058700,0.000934000,0.000421800,0.000189100,0.000161600,
0.001143500,0.001643400,0.000788500,0.000435300,0.000284000,0.000281500,
0.104992900,0.197798800,0.056408600,0.003263000,0.001239700,0.001547500,
0.106987300,0.208838300,0.058121200,0.003984500,0.000981400,0.002087700,
0.225687700,0.000029100,0.000045900,0.004091100,0.339980400,0.001958100,
9.771850400,23.277434500,5.157813200,0.032561000,0.013200000,0.023196500,
9.857007100,23.890294500,5.742818600,0.034064000,0.012633100,0.025597100,
9.985193300,25.680716600,5.585455200,0.030821000,0.011757500,0.022671600,
9.757032600,24.045110000,5.376255700,0.031620000,0.012472500,0.021920700,
10.141427000,24.171955300,5.181306300,0.031788200,0.011763400,0.022923300,

38.414740800,96.190936000,20.645572900,0.062876300,0.026342700,0.047841800,
0.000014900,0.000032100,0.000023100,0.000052700,0.000007600,0.000012600,
0.000017700,0.000030900,0.000009900,0.000065100,0.000007600,0.000013700,
0.001141900,0.003119200,0.001211100,0.000635600,0.000096500,0.000146500,
0.000015100,0.000038000,0.000010700,0.000067300,0.000007800,0.000011900,
0.000015100,0.000027500,0.000010900,0.000067000,0.000007500,0.000012700,
0.102104000,0.203037800,0.056103400,0.004152700,0.000918200,0.001667400,
2.436658000,5.721046100,1.286351100,0.015567200,0.006240700,0.011295900,
2.434929900,0.000098800,0.000158800,0.012463000,
2.447947900,5.684732800,1.280217400,0.015219400,0.007046800,0.013997100,
2.394386800,5.649198600,1.276720500,0.016362500,0.005915700,0.011742700,
2.451934500,5.704450700,1.288474300,0.017589800,0.006678400,0.011529100,
2.434662800,5.717721700,1.300853700,0.017731600,0.007359300,0.010097500,
2.456566300,5.769764500,1.307611300,0.014791900,0.005425700,0.009555500,
2.456832500,0.000107200,0.000157300,0.012042400,
2.449516200,5.887386800,1.350014100,0.016314600,0.005546800,0.011315200,
0.026225500,0.046891100,0.016101500,0.002008900,0.000484900,0.000785000,
0.000004300,0.000007700,0.000002700,0.000064500,0.000003700,0.000005600,
2.565739100,0.000154200,0.000225800,0.012061000,
9.919182900,0.000214900,0.000395300,0.027281300,
9.801893400,0.000200700,0.000400800,0.026121000,0.007222200,0.016914700,
9.878657400,24.476137900,5.650018200,0.034158800,0.013396600,0.027436700,
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
9.860000000,25.021000000,5.959000000,0.036000000,0.013000000,0.024000000,

9.821775100,0.000269200,0.000310200,0.024767400,0.005301200,0.017181000,
251.130952300,
0.103644900,0.206257400,0.056602400,0.003637100,0.001039600,0.002212900,
0.000000100,0.000000200,0.000000200,0.000000400,0.000000700,0.000000300,
0.000009300,0.000014300,0.000003600,0.000052000,0.000005400,0.000008200,
0.000324800,0.000001400,0.000002500,0.000329800,0.000023800,0.000058300,
